horizon,arm,origin,seed,val_RMSE,test_RMSE,test_MAE,pers_RMSE,pers_MAE,elapsed
6,direct,0.85,0,26.81891441345215,34.31161117553711,20.75865936279297,33.42498779296875,17.064210891723633,40.0
6,direct,0.85,1,28.278690338134766,32.61057662963867,18.648025512695312,33.42498779296875,17.064210891723633,54.8
6,direct,0.85,2,23.819957733154297,30.68197250366211,18.283388137817383,33.42498779296875,17.064210891723633,53.7
6,physics,0.85,0,24.913633346557617,32.37361145019531,15.947501182556152,33.42498779296875,17.064210891723633,160.5
6,physics,0.85,1,25.00310707092285,32.485164642333984,16.21112632751465,33.42498779296875,17.064210891723633,190.0
6,physics,0.85,2,25.118478775024414,32.468292236328125,16.178457260131836,33.42498779296875,17.064210891723633,198.3
6,physics,0.9,0,31.762155532836914,41.717018127441406,21.05371856689453,41.58089065551758,21.31209945678711,164.7
6,direct,0.9,0,30.74589729309082,61.894126892089844,29.252464294433594,41.58089065551758,21.31209945678711,72.7
6,direct,0.9,2,29.936573028564453,59.15762710571289,28.894718170166016,41.58089065551758,21.31209945678711,51.9
6,direct,0.9,1,32.0162239074707,55.226802825927734,29.878915786743164,41.58089065551758,21.31209945678711,67.2
12,direct,0.5,0,47.48834228515625,47.18193435668945,23.569793701171875,38.17448425292969,18.849382400512695,27.2
12,direct,0.5,1,42.44458770751953,42.479949951171875,20.54602813720703,38.17448425292969,18.849382400512695,36.3
6,physics,0.9,1,31.861045837402344,47.33132553100586,23.23280906677246,41.58089065551758,21.31209945678711,249.4
12,physics,0.5,1,40.720977783203125,37.53422927856445,18.63519859313965,38.17448425292969,18.849382400512695,99.1
6,physics,0.9,2,31.897422790527344,43.394954681396484,21.87203598022461,41.58089065551758,21.31209945678711,238.5
12,direct,0.5,2,41.849918365478516,40.98318862915039,20.22157859802246,38.17448425292969,18.849382400512695,26.1
12,physics,0.5,0,39.17550277709961,36.23739242553711,17.843902587890625,38.17448425292969,18.849382400512695,137.2
12,physics,0.5,2,41.62628936767578,36.7886848449707,19.000343322753906,38.17448425292969,18.849382400512695,101.3
12,direct,0.55,2,39.79397201538086,115.39405059814453,54.82689666748047,80.59225463867188,35.93913650512695,27.2
12,direct,0.55,1,32.00831604003906,96.57215118408203,48.36772918701172,80.59225463867188,35.93913650512695,55.6
12,physics,0.55,2,35.372039794921875,87.93363952636719,39.480464935302734,80.59225463867188,35.93913650512695,100.7
12,direct,0.55,0,33.7783317565918,93.24154663085938,46.0450553894043,80.59225463867188,35.93913650512695,91.9
12,physics,0.55,0,34.601314544677734,84.90127563476562,37.68214416503906,80.59225463867188,35.93913650512695,133.6
12,direct,0.6,0,81.79461669921875,111.31481170654297,61.60764694213867,108.1998062133789,56.366172790527344,38.2
12,direct,0.6,1,79.3954849243164,128.93609619140625,72.66893005371094,108.1998062133789,56.366172790527344,43.3
12,direct,0.6,2,81.42391967773438,113.50289916992188,66.7242431640625,108.1998062133789,56.366172790527344,42.6
12,physics,0.6,0,72.57511901855469,107.11248779296875,60.923851013183594,108.1998062133789,56.366172790527344,141.2
12,physics,0.6,1,75.39016723632812,120.44213104248047,67.97737884521484,108.1998062133789,56.366172790527344,121.4
12,physics,0.6,2,77.43069458007812,118.88882446289062,67.60177612304688,108.1998062133789,56.366172790527344,116.6
12,direct,0.65,0,114.29817199707031,51.36068344116211,33.70793151855469,19.93448829650879,8.866296768188477,42.3
12,direct,0.65,1,111.544677734375,23.54731559753418,17.60456085205078,19.93448829650879,8.866296768188477,37.1
12,direct,0.65,2,112.01631164550781,50.554378509521484,33.47433090209961,19.93448829650879,8.866296768188477,38.5
12,physics,0.65,1,99.02468872070312,25.417781829833984,12.50778865814209,19.93448829650879,8.866296768188477,109.5
12,physics,0.65,2,95.05017852783203,25.60228157043457,12.482638359069824,19.93448829650879,8.866296768188477,108.0
12,physics,0.65,0,92.10266876220703,19.54095458984375,8.9006929397583,19.93448829650879,8.866296768188477,136.5
12,direct,0.7,0,23.638925552368164,35.0849494934082,16.611942291259766,26.780176162719727,9.495238304138184,28.3
12,direct,0.7,1,24.07976531982422,34.964290618896484,19.11496353149414,26.780176162719727,9.495238304138184,29.4
12,direct,0.7,2,23.734081268310547,34.627525329589844,18.853322982788086,26.780176162719727,9.495238304138184,27.6
12,physics,0.7,0,18.83436393737793,24.72051239013672,8.869447708129883,26.780176162719727,9.495238304138184,136.7
