arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,cap_c,damp_alpha
waning_104w,0.65,2,48.55855941772461,11.996786117553711,5.290950298309326,-0.17196573317050934,11.340509414672852,5.244285583496094,88.7,,
waning_104w,0.65,0,48.103797912597656,11.647504806518555,5.192296028137207,-0.12742015719413757,11.340509414672852,5.244285583496094,168.7,,
waning_104w,0.7,0,12.005002975463867,14.853757858276367,6.190958499908447,-0.886821985244751,15.7118501663208,6.584691524505615,161.3,,
waning_104w,0.75,0,15.344149589538574,30.857934951782227,11.657333374023438,-0.5396801233291626,29.548784255981445,10.929333686828613,150.1,,
waning_104w,0.8,0,29.234935760498047,21.79630470275879,12.970468521118164,1.4233237504959106,21.96774673461914,12.876190185546875,92.1,,
waning_104w,0.7,1,11.46087646484375,14.176621437072754,6.004995346069336,-0.4792236387729645,15.7118501663208,6.584691524505615,335.5,,
waning_104w,0.75,1,14.452685356140137,28.27129554748535,11.284467697143555,-1.3945921659469604,29.548784255981445,10.929333686828613,329.0,,
waning_104w,0.7,2,11.41191577911377,14.264957427978516,6.120283603668213,-0.10622412711381912,15.7118501663208,6.584691524505615,389.3,,
waning_104w,0.8,1,26.880258560180664,23.544334411621094,13.756359100341797,3.192141056060791,21.96774673461914,12.876190185546875,220.1,,
waning_104w,0.85,0,22.67900848388672,30.725082397460938,15.14432144165039,-1.9751367568969727,30.963665008544922,15.473650932312012,109.4,,
waning_104w,0.8,2,27.03933334350586,23.059188842773438,13.527459144592285,2.9043643474578857,21.96774673461914,12.876190185546875,208.5,,
waning_104w,0.9,0,29.734140396118164,35.626033782958984,17.931001663208008,1.8191062211990356,32.859073638916016,17.084285736083984,108.0,,
waning_104w,0.75,2,14.170226097106934,28.027732849121094,11.182003021240234,-1.3113348484039307,29.548784255981445,10.929333686828613,414.2,,
waning_104w,0.85,1,22.473594665527344,30.53074073791504,14.975528717041016,-2.1250782012939453,30.963665008544922,15.473650932312012,139.2,,
