arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,damp_alpha
oracle_w52_damped,0.55,2,19.596309661865234,45.53642272949219,21.85409927368164,-11.5769681930542,45.49281311035156,22.0325927734375,63.3,0.48222342133522034
oracle_w52_damped,0.5,2,23.11078453063965,19.9437255859375,11.180147171020508,-2.0854945182800293,20.270668029785156,11.64380931854248,80.3,0.45478537678718567
oracle_w52_damped,0.6,2,40.80715560913086,57.960853576660156,29.374116897583008,19.600975036621094,48.71405792236328,23.578571319580078,45.2,0.49480143189430237
oracle_w52_damped,0.65,0,46.64863204956055,11.318157196044922,5.01390266418457,-0.3886018395423889,11.340509414672852,5.244285583496094,69.0,0.47480350732803345
oracle_w52_damped,0.65,2,46.649410247802734,11.318079948425293,5.013960838317871,-0.38855475187301636,11.340509414672852,5.244285583496094,69.9,0.47474536299705505
oracle_w52_damped,0.65,1,46.427955627441406,11.458653450012207,5.222141742706299,0.4092349708080292,11.340509414672852,5.244285583496094,73.7,0.4694860577583313
oracle_w52_damped,0.7,1,11.606117248535156,15.203675270080566,6.303145408630371,-0.1978183090686798,15.7118501663208,6.584691524505615,67.0,0.4760351777076721
oracle_w52_damped,0.7,0,11.720657348632812,15.105157852172852,6.2915191650390625,-0.77513188123703,15.7118501663208,6.584691524505615,113.1,0.46511131525039673
oracle_w52_damped,0.75,1,15.30603313446045,27.445417404174805,10.795540809631348,-1.8773233890533447,29.548784255981445,10.929333686828613,59.0,0.47863954305648804
oracle_w52_damped,0.55,1,18.510602951049805,44.12860870361328,21.331022262573242,-9.620864868164062,45.49281311035156,22.0325927734375,217.2,0.6217626333236694
oracle_w52_damped,0.7,2,11.720672607421875,15.105130195617676,6.29160213470459,-0.7750518918037415,15.7118501663208,6.584691524505615,105.8,0.46503373980522156
oracle_w52_damped,0.8,0,26.920166015625,20.741331100463867,12.334559440612793,-0.6932361721992493,21.96774673461914,12.876190185546875,64.9,0.4761359691619873
oracle_w52_damped,0.8,1,26.772262573242188,20.770889282226562,12.346441268920898,-0.5629165768623352,21.96774673461914,12.876190185546875,63.4,0.47865745425224304
oracle_w52_damped,0.8,2,26.92033576965332,20.741392135620117,12.334592819213867,-0.6935702562332153,21.96774673461914,12.876190185546875,65.7,0.4760669469833374
oracle_w52_damped,0.85,0,20.816619873046875,30.312416076660156,14.752836227416992,-3.980867862701416,30.963665008544922,15.473650932312012,65.8,0.47354698181152344
oracle_w52_damped,0.75,0,15.505304336547852,28.637678146362305,10.92798137664795,-1.1800644397735596,29.548784255981445,10.929333686828613,170.7,0.5642271041870117
oracle_w52_damped,0.85,1,20.809904098510742,30.36081886291504,14.74434757232666,-3.723680019378662,30.963665008544922,15.473650932312012,62.8,0.47638705372810364
oracle_w52_damped,0.85,2,20.816614151000977,30.31247901916504,14.752857208251953,-3.9810919761657715,30.963665008544922,15.473650932312012,63.8,0.47348639369010925
oracle_w52_damped,0.75,2,15.505423545837402,28.60186004638672,10.92374324798584,-1.214000940322876,29.548784255981445,10.929333686828613,167.9,0.5575971603393555
oracle_w52_damped,0.9,0,29.17308807373047,31.484607696533203,16.148141860961914,-2.839658260345459,32.859073638916016,17.084285736083984,63.6,0.47372934222221375
oracle_full,0.5,0,22.889497756958008,20.787586212158203,11.415143013000488,-1.8376907110214233,20.270668029785156,11.64380931854248,32.3,0.49480435252189636
oracle_full,0.5,1,22.804943084716797,20.826936721801758,11.37092399597168,-2.297506332397461,20.270668029785156,11.64380931854248,33.4,0.49265754222869873
oracle_w52_damped,0.9,1,29.18075180053711,31.466222763061523,16.182981491088867,-2.3818492889404297,32.859073638916016,17.084285736083984,58.1,0.47905808687210083
oracle_w52_damped,0.9,2,29.173078536987305,31.484838485717773,16.148239135742188,-2.8404793739318848,32.859073638916016,17.084285736083984,61.2,0.4736638069152832
oracle_full,0.5,2,22.83527374267578,20.904094696044922,11.379904747009277,-2.395770311355591,20.270668029785156,11.64380931854248,32.4,0.49266669154167175
oracle_full,0.55,0,20.250516891479492,44.818233489990234,21.29648208618164,-6.783415794372559,45.49281311035156,22.0325927734375,29.4,0.49924999475479126
oracle_full,0.55,1,20.22235107421875,44.75879669189453,21.266036987304688,-6.737812519073486,45.49281311035156,22.0325927734375,29.7,0.49924999475479126
