label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,resid_ratio,max_growth,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
C_band0.3_new2.39,6,0.775,1,AdaptiveGCN,0.0,0.5864567756652832,1.0,0.253,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,71.316,1.0992,2,11.842266605617343,5.95938625916373,94.73181711559032,97.41725324050286,5.428571428571429,850
C_band0.3_new2.39,6,0.775,1,AdaptiveGCN,0.0,0.5864567756652832,1.0,0.253,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,71.316,1.0992,3,14.31021852154494,7.098426596239716,96.32195040346161,115.92314608967844,5.785714285714286,850
C_band0.3_new2.39,6,0.775,2,AdaptiveGCN,0.0,0.785916268825531,1.0,0.0911,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,52.12,0.417,0,10.629258759041331,5.321729518413606,86.77833933266135,86.24986996005741,nan,2550
C_band0.3_new2.39,6,0.775,2,AdaptiveGCN,0.0,0.785916268825531,1.0,0.0911,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,52.12,0.417,1,8.741284258969866,4.571524216887363,94.84299993455765,75.42442301588443,2.7857142857142856,850
C_band0.3_new2.39,6,0.775,2,AdaptiveGCN,0.0,0.785916268825531,1.0,0.0911,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,52.12,0.417,2,10.211438581168421,5.166365139064592,80.17130839662894,84.00382132836589,3.142857142857143,850
C_band0.3_new2.39,6,0.775,2,AdaptiveGCN,0.0,0.785916268825531,1.0,0.0911,2.3884,none,gcn,3,64,0.001,none,321,321,34,7032,52.12,0.417,3,12.580138985992217,6.227299199288861,85.32070966679747,99.3410038295058,4.571428571428571,850
C_band0.3_new2.39,7,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,1.0,0.0678,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.761,0.4972,0,88.26669474143176,21.403269400070542,88.52498488814705,394.5322996174686,nan,2550
C_band0.3_new2.39,7,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,1.0,0.0678,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.761,0.4972,1,89.88505388128699,20.74785000258531,85.62367344474984,424.9017413871093,2.76,850
C_band0.3_new2.39,7,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,1.0,0.0678,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.761,0.4972,2,87.44987475048461,21.114523795452723,86.93805038050624,310.13329040964067,3.52,850
C_band0.3_new2.39,7,0.85,0,AdaptiveGCN,0.0,0.7578955292701721,1.0,0.0678,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.761,0.4972,3,87.44269378635349,22.34743440217359,93.013230839185,448.58123016128684,4.36,850
C_band0.3_new2.39,7,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,1.0,0.0467,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.158,0.4715,0,90.56114866584679,21.867779574227605,96.84265377721582,414.00629657585546,nan,2550
C_band0.3_new2.39,7,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,1.0,0.0467,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.158,0.4715,1,90.47505534816408,20.781197533764576,96.49795914462817,431.7780774333346,2.56,850
C_band0.3_new2.39,7,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,1.0,0.0467,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.158,0.4715,2,92.42705622331736,22.19333928154867,96.49201521567767,345.2799612358559,3.32,850
C_band0.3_new2.39,7,0.85,1,AdaptiveGCN,0.0,0.7554380893707275,1.0,0.0467,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,62.158,0.4715,3,88.74383686020788,22.628801907369567,97.53798697134161,464.9163748887727,4.36,850
C_band0.3_new2.39,7,0.85,2,AdaptiveGCN,0.0,0.663027822971344,1.0,0.1001,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,72.874,0.617,0,85.5202218723249,20.94111081549928,95.57529080391004,372.13017178735106,nan,2550
C_band0.3_new2.39,7,0.85,2,AdaptiveGCN,0.0,0.663027822971344,1.0,0.1001,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,72.874,0.617,1,87.00518289862492,20.235932306140278,91.06051482561608,400.69272835248466,2.76,850
C_band0.3_new2.39,7,0.85,2,AdaptiveGCN,0.0,0.663027822971344,1.0,0.1001,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,72.874,0.617,2,85.48635792146067,20.8720545214933,96.14696414592572,299.63285514088227,3.32,850
C_band0.3_new2.39,7,0.85,2,AdaptiveGCN,0.0,0.663027822971344,1.0,0.1001,2.3884,none,gcn,3,64,0.001,none,355,355,34,7032,72.874,0.617,3,84.04347568595543,21.71534561886426,99.51839344018829,416.10299926565284,4.6,850
C_band0.3_new2.39,8,0.925,0,AdaptiveGCN,0.0,0.40433433651924133,1.0,0.4314,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,436.511,14.276,0,28.928614346385572,12.898392689304401,82.05306416474406,113.46816944406739,nan,2550
C_band0.3_new2.39,8,0.925,0,AdaptiveGCN,0.0,0.40433433651924133,1.0,0.4314,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,436.511,14.276,1,25.526253415384453,10.188620947327959,74.40890719171443,86.27809584548083,2.857142857142857,850
C_band0.3_new2.39,8,0.925,0,AdaptiveGCN,0.0,0.40433433651924133,1.0,0.4314,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,436.511,14.276,2,28.93964940471389,13.118216162447215,83.5246997043375,117.3759072903945,5.142857142857143,850
C_band0.3_new2.39,8,0.925,0,AdaptiveGCN,0.0,0.40433433651924133,1.0,0.4314,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,436.511,14.276,3,31.960933386112668,15.38834095813803,88.22558559818023,136.58148865965472,5.0476190476190474,850
C_band0.3_new2.39,8,0.925,1,AdaptiveGCN,0.0,0.4943855106830597,1.0,0.2939,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,112.092,0.6388,0,28.014935602031482,12.028521938425781,81.53340033831078,101.30565030653922,nan,2550
C_band0.3_new2.39,8,0.925,1,AdaptiveGCN,0.0,0.4943855106830597,1.0,0.2939,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,112.092,0.6388,1,26.238186948222726,10.459193469117231,77.8534940535275,88.14403552578207,2.9047619047619047,850
C_band0.3_new2.39,8,0.925,1,AdaptiveGCN,0.0,0.4943855106830597,1.0,0.2939,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,112.092,0.6388,2,28.159664490698496,12.070229728974347,79.83050009022303,103.49492595138778,3.7142857142857144,850
C_band0.3_new2.39,8,0.925,1,AdaptiveGCN,0.0,0.4943855106830597,1.0,0.2939,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,112.092,0.6388,3,29.548277306796106,13.556142617185765,86.91620687118179,112.19739046697939,5.857142857142857,850
C_band0.3_new2.39,8,0.925,2,AdaptiveGCN,0.0,0.6529404520988464,1.0,0.1395,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,97.879,0.5599,0,27.57239964998521,11.110544825790207,76.76064454044455,93.46663254909576,nan,2550
C_band0.3_new2.39,8,0.925,2,AdaptiveGCN,0.0,0.6529404520988464,1.0,0.1395,2.3884,none,gcn,3,64,0.001,none,389,389,34,7032,97.879,0.5599,1,25.404113618559926,9.563812319844796,70.86724317588927,80.29565761520556,2.1904761904761907,850
