label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_gat_h1,6,0.775,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.382,1.408,1,8.508378440630302,4.415464656570488,80.99906664535807,71.3135116811941,2.5,850
X_gat_h1,6,0.775,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.382,1.408,2,10.788585236414876,5.363672552511972,90.69948052855325,87.82258881854781,4.285714285714286,850
X_gat_h1,6,0.775,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,321,321,34,7160,61.382,1.408,3,13.022770606700396,6.4561600049957635,93.88546973405677,104.90678924868449,5.857142857142857,850
X_gat_h1,7,0.85,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,57.763,1.5315,0,87.53967115341288,21.256889626359722,94.30606196740733,385.30285768427825,nan,2550
X_gat_h1,7,0.85,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,57.763,1.5315,1,95.82236263427995,21.74804667402497,86.27171973644366,473.6949881500691,2.76,850
X_gat_h1,7,0.85,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,57.763,1.5315,2,84.20166019086847,20.625949268928483,96.5929866003232,293.52332484800627,3.76,850
X_gat_h1,7,0.85,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,57.763,1.5315,3,81.9618040139983,21.396672936125714,100.05347956545509,389.19068388899075,4.4,850
X_gat_h1,7,0.85,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,62.363,1.6099,0,87.73263656267696,21.364583152471678,89.44430231649423,388.46938862616264,nan,2550
X_gat_h1,7,0.85,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,62.363,1.6099,1,85.11307420937584,19.82046862892697,85.52188949474484,381.25954813278065,2.76,850
X_gat_h1,7,0.85,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,62.363,1.6099,2,88.93021300543543,21.57392190231476,90.5973299102348,322.1533866822293,3.32,850
X_gat_h1,7,0.85,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,62.363,1.6099,3,89.09673601290594,22.6993589261733,92.21368754450302,461.741420029065,4.36,850
X_gat_h1,7,0.85,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,59.89,1.2037,0,90.76824112173017,21.830548625628456,95.33152860509007,417.091426474431,nan,2550
X_gat_h1,7,0.85,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,59.89,1.2037,1,95.52772457895743,21.63416930085596,91.5693781435564,472.33590705241346,2.76,850
X_gat_h1,7,0.85,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,59.89,1.2037,2,88.62513600719991,21.421174515329493,97.74440390106885,324.9817299934994,3.32,850
X_gat_h1,7,0.85,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,355,355,34,7160,59.89,1.2037,3,87.95828496207629,22.436302060699912,96.68080377064499,454.16912071865863,4.36,850
X_gat_h1,8,0.925,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,389,389,34,7160,61.939,1.1358,0,26.461693267856752,10.902421187312735,74.83860064535328,88.57906777721023,nan,2550
