label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,horizon,rmse,mae,smape,mape,peak_week_err,n_obs,config,use_adaptive,hidden,epochs
adaptive,3,0.85,2,AdaptiveGCN,0.0,0.663027822971344,68,0,63.50491727573074,15.998103824407593,85.7397602932779,228.54930842966036,nan,5100,adaptive,True,64,120
adaptive_lam0.01,1,0.55,0,AdaptiveGCN,0.01,0.8500134944915771,68,1,23.34638853137579,11.538702354753553,51.264076258483996,55.70171852642982,8.583333333333334,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,0,AdaptiveGCN,0.01,0.8500134944915771,68,2,30.64883480290379,15.114565997343949,57.797529721137195,62.33439751832465,10.708333333333334,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,0,AdaptiveGCN,0.01,0.8500134944915771,68,3,36.023130712455895,17.348158374920708,61.06740780116905,64.27177853179776,9.75,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,0,AdaptiveGCN,0.01,0.8500134944915771,68,0,30.45253617549954,14.667142242339404,56.70967126026342,60.76756476580759,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,1,AdaptiveGCN,0.01,0.8751895427703857,68,1,22.888184205260078,11.171107991968885,50.57771055223677,51.38623268967514,3.125,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,1,AdaptiveGCN,0.01,0.8751895427703857,68,2,26.8385001377527,13.444767565221033,54.15685318053778,59.84608096291931,6.25,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,1,AdaptiveGCN,0.01,0.8751895427703857,68,3,32.518623709912674,15.937346533853972,57.54236458875437,62.68007685591308,10.666666666666666,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,1,AdaptiveGCN,0.01,0.8751895427703857,68,0,27.698585727102646,13.517740697014629,54.092309440509645,57.968512482575676,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,2,AdaptiveGCN,0.01,0.8645839691162109,68,1,22.791835155660685,11.157934494704584,50.30135369506008,52.4388943716351,3.25,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,2,AdaptiveGCN,0.01,0.8645839691162109,68,2,27.539297595416375,13.387823634517982,54.9089435004709,57.623125001058426,4.833333333333333,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,2,AdaptiveGCN,0.01,0.8645839691162109,68,3,33.76835654784804,16.13564329527976,59.919212636515326,57.9803626962187,8.416666666666666,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,1,0.55,2,AdaptiveGCN,0.01,0.8645839691162109,68,0,28.39121088033119,13.560467141500775,55.04316994401543,56.01300650915104,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,0,AdaptiveGCN,0.01,0.8978725075721741,68,1,29.800921019717656,13.119009587342376,62.770715383017105,55.45487413864897,1.04,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,0,AdaptiveGCN,0.01,0.8978725075721741,68,2,40.56706402777336,17.210977764714453,66.69437945763266,67.1539560536142,4.0,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,0,AdaptiveGCN,0.01,0.8978725075721741,68,3,51.0312790225897,20.979552914863177,73.31040972904411,86.23637700853692,5.0,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,0,AdaptiveGCN,0.01,0.8978725075721741,68,0,41.3842684125998,17.103180088973335,67.59183485656463,69.56935489115722,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,1,AdaptiveGCN,0.01,0.8583617210388184,68,1,32.97875235352535,13.878839794478656,60.65776312940332,54.950277679786176,1.16,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,1,AdaptiveGCN,0.01,0.8583617210388184,68,2,44.470981327425946,18.684660943589222,68.30274712815377,74.71015794282974,5.32,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,1,AdaptiveGCN,0.01,0.8583617210388184,68,3,53.953513465362036,22.390576274127028,73.75313945849086,94.28112364308772,6.0,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,1,AdaptiveGCN,0.01,0.8583617210388184,68,0,44.63275292979519,18.318025670731632,67.57121657201598,74.58765547310166,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,2,AdaptiveGCN,0.01,0.8746147155761719,68,1,32.48099805969635,13.877105662253513,64.89422390916022,57.76017579276525,2.24,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,2,AdaptiveGCN,0.01,0.8746147155761719,68,2,44.578882938982716,18.171021464554016,66.12648517988715,71.09861152797177,4.6,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,2,AdaptiveGCN,0.01,0.8746147155761719,68,3,54.485783255515756,22.10180713597579,75.34178211702496,95.00653622756711,5.5,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,2,0.7,2,AdaptiveGCN,0.01,0.8746147155761719,68,0,44.762307864275584,18.04997808759444,68.78749706869077,74.56664960959672,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,0,AdaptiveGCN,0.01,0.8709824681282043,68,1,65.41197550007314,14.982178934480729,76.95736215859445,242.9779459435681,1.0,1700,adaptive_lam0.01,True,64,120
