arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,PICP,MPIW
A3TGCN,temporal_attention,0.55,1,26.978538513183594,13.445807456970215,68,0,26.978538513183594,13.445807456970215,,
A3TGCN,temporal_attention,0.55,2,26.96036720275879,13.277093887329102,68,0,26.96036720275879,13.277093887329102,,
A3TGCN,temporal_attention,0.7,0,37.73686981201172,16.290740966796875,68,0,37.73686981201172,16.290740966796875,,
A3TGCN,temporal_attention,0.7,1,37.885032653808594,16.393390655517578,68,0,37.885032653808594,16.393390655517578,,
A3TGCN,temporal_attention,0.7,2,37.68476867675781,16.42538833618164,68,0,37.68476867675781,16.42538833618164,,
A3TGCN,temporal_attention,0.85,0,68.6751708984375,16.619985580444336,68,6,22.184066772460938,9.090798377990723,,
A3TGCN,temporal_attention,0.85,1,68.41181182861328,16.56688690185547,68,6,21.965190887451172,9.067687034606934,,
A3TGCN,temporal_attention,0.85,2,68.25747680664062,16.5678653717041,68,6,22.068138122558594,9.090300559997559,,
A3TGCN,huber,0.55,0,27.854536056518555,13.749886512756348,68,0,27.854536056518555,13.749886512756348,,
A3TGCN,huber,0.55,1,26.930025100708008,13.413201332092285,68,0,26.930025100708008,13.413201332092285,,
A3TGCN,huber,0.55,2,27.038480758666992,13.30453109741211,68,0,27.038480758666992,13.30453109741211,,
A3TGCN,huber,0.7,0,37.65135955810547,16.330350875854492,68,0,37.65135955810547,16.330350875854492,,
A3TGCN,huber,0.7,1,37.67628860473633,16.363557815551758,68,0,37.67628860473633,16.363557815551758,,
A3TGCN,huber,0.7,2,37.63233184814453,16.4303035736084,68,0,37.63233184814453,16.4303035736084,,
A3TGCN,huber,0.85,0,67.99895477294922,16.533058166503906,68,6,22.153282165527344,9.08876895904541,,
A3TGCN,huber,0.85,1,67.91273498535156,16.515356063842773,68,6,22.15302276611328,9.082723617553711,,
A3TGCN,huber,0.85,2,67.30558013916016,16.440568923950195,68,6,22.10920524597168,9.083168983459473,,
A3TGCN,probabilistic,0.55,0,27.31527328491211,13.40481185913086,68,0,27.31527328491211,13.40481185913086,0.9994117647058823,705.4655151367188
A3TGCN,probabilistic,0.55,1,27.025362014770508,13.183904647827148,68,0,27.025362014770508,13.183904647827148,0.9745098039215686,136.79847717285156
A3TGCN,probabilistic,0.55,2,27.324438095092773,13.33198356628418,68,0,27.324438095092773,13.33198356628418,0.9980392156862745,455.3776550292969
A3TGCN,probabilistic,0.7,0,37.61070251464844,16.471105575561523,68,0,37.61070251464844,16.471105575561523,0.9745098039215686,175.4707794189453
A3TGCN,probabilistic,0.7,1,37.6888542175293,16.374523162841797,68,0,37.6888542175293,16.374523162841797,0.9625490196078431,166.6044921875
A3TGCN,probabilistic,0.7,2,37.6298713684082,16.394433975219727,68,0,37.6298713684082,16.394433975219727,0.9605882352941176,163.6944580078125
A3TGCN,probabilistic,0.85,0,68.30229949951172,16.536739349365234,68,6,21.88271713256836,9.055551528930664,0.9272549019607843,89.44902038574219
A3TGCN,probabilistic,0.85,1,68.3023681640625,16.545202255249023,68,6,21.976816177368164,9.05661678314209,0.9284313725490196,89.81492614746094
A3TGCN,probabilistic,0.85,2,68.01641082763672,16.517799377441406,68,6,21.93267059326172,9.069626808166504,0.9301960784313725,91.59258270263672
AAGCN,base,0.55,0,34.04438018798828,15.608682632446289,68,0,34.04438018798828,15.608682632446289,,
AAGCN,base,0.55,1,28.563310623168945,13.578702926635742,68,0,28.563310623168945,13.578702926635742,,
AAGCN,base,0.55,2,28.135761260986328,13.157819747924805,68,0,28.135761260986328,13.157819747924805,,
AAGCN,base,0.7,0,39.12919616699219,17.159902572631836,68,0,39.12919616699219,17.159902572631836,,
AAGCN,base,0.7,1,37.808799743652344,16.573421478271484,68,0,37.808799743652344,16.573421478271484,,
AAGCN,base,0.7,2,38.10427474975586,16.631555557250977,68,0,38.10427474975586,16.631555557250977,,
AAGCN,base,0.85,0,55.451171875,14.3983793258667,68,6,21.339946746826172,8.851329803466797,,
AAGCN,base,0.85,1,54.27736282348633,14.066004753112793,68,6,20.588659286499023,8.66124153137207,,
AAGCN,base,0.85,2,53.35127258300781,13.73758602142334,68,6,20.81711769104004,8.694005012512207,,
AAGCN,per_horizon_heads,0.55,0,32.1631965637207,14.697932243347168,68,0,32.1631965637207,14.697932243347168,,
AAGCN,per_horizon_heads,0.55,1,34.23366165161133,15.9308500289917,68,0,34.23366165161133,15.9308500289917,,
AAGCN,per_horizon_heads,0.55,2,34.4439811706543,15.446512222290039,68,0,34.4439811706543,15.446512222290039,,
AAGCN,per_horizon_heads,0.7,0,38.74707794189453,16.956724166870117,68,0,38.74707794189453,16.956724166870117,,
AAGCN,per_horizon_heads,0.7,1,38.07394790649414,16.59787940979004,68,0,38.07394790649414,16.59787940979004,,
AAGCN,per_horizon_heads,0.7,2,39.02201461791992,17.24921417236328,68,0,39.02201461791992,17.24921417236328,,
AAGCN,per_horizon_heads,0.85,0,72.00305938720703,15.985678672790527,68,6,21.203907012939453,8.953917503356934,,
AAGCN,per_horizon_heads,0.85,1,52.16973114013672,13.64928913116455,68,6,20.895193099975586,8.715270042419434,,
AAGCN,per_horizon_heads,0.85,2,52.29165267944336,13.694595336914062,68,6,20.558862686157227,8.60759449005127,,
AAGCN,temporal_attention,0.55,0,34.00077819824219,15.524008750915527,68,0,34.00077819824219,15.524008750915527,,
AAGCN,temporal_attention,0.55,1,28.310741424560547,13.447869300842285,68,0,28.310741424560547,13.447869300842285,,
AAGCN,temporal_attention,0.55,2,28.10109519958496,13.150297164916992,68,0,28.10109519958496,13.150297164916992,,
AAGCN,temporal_attention,0.7,0,39.250267028808594,16.853361129760742,68,0,39.250267028808594,16.853361129760742,,
AAGCN,temporal_attention,0.7,1,38.164772033691406,16.49026107788086,68,0,38.164772033691406,16.49026107788086,,
AAGCN,temporal_attention,0.7,2,38.712303161621094,16.717905044555664,68,0,38.712303161621094,16.717905044555664,,
AAGCN,temporal_attention,0.85,0,54.59165573120117,14.190496444702148,68,6,21.062620162963867,8.80031967163086,,
AAGCN,temporal_attention,0.85,1,57.11920166015625,14.514394760131836,68,6,20.5764102935791,8.676857948303223,,
AAGCN,temporal_attention,0.85,2,52.063140869140625,13.506021499633789,68,6,20.951034545898438,8.732404708862305,,
AAGCN,huber,0.55,0,34.420326232910156,15.718486785888672,68,0,34.420326232910156,15.718486785888672,,
AAGCN,huber,0.55,1,28.077211380004883,13.418281555175781,68,0,28.077211380004883,13.418281555175781,,
AAGCN,huber,0.55,2,28.177536010742188,13.203636169433594,68,0,28.177536010742188,13.203636169433594,,
AAGCN,huber,0.7,0,38.91911315917969,16.980667114257812,68,0,38.91911315917969,16.980667114257812,,
AAGCN,huber,0.7,1,38.118587493896484,16.78620719909668,68,0,38.118587493896484,16.78620719909668,,
AAGCN,huber,0.7,2,38.9118537902832,16.893625259399414,68,0,38.9118537902832,16.893625259399414,,
AAGCN,huber,0.85,0,56.0135383605957,14.530220985412598,68,6,21.524301528930664,8.878374099731445,,
AAGCN,huber,0.85,1,56.507144927978516,14.59485912322998,68,6,20.7180118560791,8.677399635314941,,
AAGCN,huber,0.85,2,52.798011779785156,13.632436752319336,68,6,20.67122459411621,8.667353630065918,,
AAGCN,probabilistic,0.55,0,33.93876266479492,16.166852951049805,68,0,33.93876266479492,16.166852951049805,0.9986274509803922,431.4543762207031
AAGCN,probabilistic,0.55,1,28.355148315429688,13.514331817626953,68,0,28.355148315429688,13.514331817626953,0.9919607843137255,163.056396484375
AAGCN,probabilistic,0.55,2,28.23736572265625,13.249893188476562,68,0,28.23736572265625,13.249893188476562,0.9896078431372549,134.4120330810547
AAGCN,probabilistic,0.7,0,38.12666702270508,16.885438919067383,68,0,38.12666702270508,16.885438919067383,0.9525490196078431,133.1728973388672
