district,covariate,lag,r
Matara,era5_temperature_2m_mean,8,-0.045027575420210256
Matara,era5_temperature_2m_mean,9,-0.04148784917019176
Matara,era5_temperature_2m_mean,10,-0.005607287300322123
Matara,era5_temperature_2m_mean,11,0.07630680503206608
Matara,era5_temperature_2m_mean,12,0.07752340732733753
Matara,era5_temperature_2m_mean,13,0.121129585844383
Matara,era5_temperature_2m_mean,14,0.16263714084254036
Matara,era5_temperature_2m_mean,15,0.1961631458178572
Matara,era5_temperature_2m_mean,16,0.20713834781802395
Matara,era5_temperature_2m_mean,17,0.22306558414898994
Matara,era5_temperature_2m_mean,18,0.22567151311389885
Matara,era5_temperature_2m_mean,19,0.220351159776345
Matara,era5_temperature_2m_mean,20,0.21425741088321615
Moneragala,era5_temperature_2m_mean,2,0.02804180679430167
Moneragala,era5_temperature_2m_mean,3,0.03424377704895922
Moneragala,era5_temperature_2m_mean,4,0.045473527575156596
Moneragala,era5_temperature_2m_mean,5,0.027228044540633795
Moneragala,era5_temperature_2m_mean,6,0.022504913463866353
Moneragala,era5_temperature_2m_mean,7,0.038022833796225265
Moneragala,era5_temperature_2m_mean,8,0.04954755518973855
Moneragala,era5_temperature_2m_mean,9,0.04641659167723555
Moneragala,era5_temperature_2m_mean,10,0.06702921223184624
Moneragala,era5_temperature_2m_mean,11,0.08202774300210613
Moneragala,era5_temperature_2m_mean,12,0.07617389774943065
Moneragala,era5_temperature_2m_mean,13,0.09029677519345124
Moneragala,era5_temperature_2m_mean,14,0.09938931669433623
Moneragala,era5_temperature_2m_mean,15,0.12503132747246717
Moneragala,era5_temperature_2m_mean,16,0.13674964869656794
Moneragala,era5_temperature_2m_mean,17,0.1349591211887849
Moneragala,era5_temperature_2m_mean,18,0.13806256749212695
Moneragala,era5_temperature_2m_mean,19,0.12579205881741934
Moneragala,era5_temperature_2m_mean,20,0.14252579912729474
Mullaitivu,era5_temperature_2m_mean,2,-0.04947361577716058
Mullaitivu,era5_temperature_2m_mean,3,-0.04213313446834854
Mullaitivu,era5_temperature_2m_mean,4,-0.05234884963108169
Mullaitivu,era5_temperature_2m_mean,5,-0.056527749355537595
Mullaitivu,era5_temperature_2m_mean,6,-0.042896138056758064
Mullaitivu,era5_temperature_2m_mean,7,-0.0013515138975399162
Mullaitivu,era5_temperature_2m_mean,8,-0.009569997285959158
Mullaitivu,era5_temperature_2m_mean,9,0.008521636599795096
Mullaitivu,era5_temperature_2m_mean,10,0.01216019066276825
Mullaitivu,era5_temperature_2m_mean,11,0.01634052301568534
Mullaitivu,era5_temperature_2m_mean,12,0.03384603824612906
Mullaitivu,era5_temperature_2m_mean,13,0.07542290804351737
Mullaitivu,era5_temperature_2m_mean,14,0.052481592304944744
Mullaitivu,era5_temperature_2m_mean,15,0.053685093665471674
Mullaitivu,era5_temperature_2m_mean,16,0.06613013904086555
Mullaitivu,era5_temperature_2m_mean,17,0.06742749971866814
Mullaitivu,era5_temperature_2m_mean,18,0.0247555269033916
Mullaitivu,era5_temperature_2m_mean,19,-0.026535407741497402
Mullaitivu,era5_temperature_2m_mean,20,-0.014244837068953782
NuwaraEliya,era5_temperature_2m_mean,2,0.06824067490287045
NuwaraEliya,era5_temperature_2m_mean,3,0.1322828849976103
NuwaraEliya,era5_temperature_2m_mean,4,0.14609041501710499
NuwaraEliya,era5_temperature_2m_mean,5,0.2028988092518577
NuwaraEliya,era5_temperature_2m_mean,6,0.17812593632030868
NuwaraEliya,era5_temperature_2m_mean,7,0.21766235725294833
NuwaraEliya,era5_temperature_2m_mean,8,0.24878107468307822
NuwaraEliya,era5_temperature_2m_mean,9,0.24489038137360686
NuwaraEliya,era5_temperature_2m_mean,10,0.26896957211393063
NuwaraEliya,era5_temperature_2m_mean,11,0.26528226105238806
NuwaraEliya,era5_temperature_2m_mean,12,0.2837897882826388
NuwaraEliya,era5_temperature_2m_mean,13,0.2775964461021792
NuwaraEliya,era5_temperature_2m_mean,14,0.2648113368998825
NuwaraEliya,era5_temperature_2m_mean,15,0.26720051235379993
NuwaraEliya,era5_temperature_2m_mean,16,0.21346680779618846
NuwaraEliya,era5_temperature_2m_mean,17,0.19541107647150088
NuwaraEliya,era5_temperature_2m_mean,18,0.1374200327482042
NuwaraEliya,era5_temperature_2m_mean,19,0.07206424872068215
NuwaraEliya,era5_temperature_2m_mean,20,0.06868179394856269
Polonnaruwa,era5_temperature_2m_mean,2,0.023259411080408073
Polonnaruwa,era5_temperature_2m_mean,3,0.04600851642027986
Polonnaruwa,era5_temperature_2m_mean,4,0.05179614526733882
Polonnaruwa,era5_temperature_2m_mean,5,0.06562366374672177
Polonnaruwa,era5_temperature_2m_mean,6,0.06209593455969101
Polonnaruwa,era5_temperature_2m_mean,7,0.08591111927046896
Polonnaruwa,era5_temperature_2m_mean,8,0.08057647454633841
Polonnaruwa,era5_temperature_2m_mean,9,0.09743324795253994
Polonnaruwa,era5_temperature_2m_mean,10,0.12670449679548856
Polonnaruwa,era5_temperature_2m_mean,11,0.15677254091959866
Polonnaruwa,era5_temperature_2m_mean,12,0.15444979701067846
Polonnaruwa,era5_temperature_2m_mean,13,0.1800187683131479
Polonnaruwa,era5_temperature_2m_mean,14,0.19091490649441287
Polonnaruwa,era5_temperature_2m_mean,15,0.16636979410417863
Polonnaruwa,era5_temperature_2m_mean,16,0.1522129628945424
Polonnaruwa,era5_temperature_2m_mean,17,0.13836322969308337
Polonnaruwa,era5_temperature_2m_mean,18,0.13347896442489723
Polonnaruwa,era5_temperature_2m_mean,19,0.12275660475020292
Polonnaruwa,era5_temperature_2m_mean,20,0.12203652239228131
Puttalam,era5_temperature_2m_mean,2,-0.12139409874483538
Puttalam,era5_temperature_2m_mean,3,-0.1056001072082606
Puttalam,era5_temperature_2m_mean,4,-0.1016772033205895
Puttalam,era5_temperature_2m_mean,5,-0.0674157775750696
Puttalam,era5_temperature_2m_mean,6,-0.06547716770835205
Puttalam,era5_temperature_2m_mean,7,-0.03780656236707663
Puttalam,era5_temperature_2m_mean,8,-0.03424247832674669
Puttalam,era5_temperature_2m_mean,9,0.005115103589387281
Puttalam,era5_temperature_2m_mean,10,0.02767780369415956
Puttalam,era5_temperature_2m_mean,11,0.05345513708858447
Puttalam,era5_temperature_2m_mean,12,0.08767995479917226
Puttalam,era5_temperature_2m_mean,13,0.112701955095205
Puttalam,era5_temperature_2m_mean,14,0.1396906330693632
Puttalam,era5_temperature_2m_mean,15,0.15366859827786555
Puttalam,era5_temperature_2m_mean,16,0.13030334867967566
Puttalam,era5_temperature_2m_mean,17,0.12729970104413416
Puttalam,era5_temperature_2m_mean,18,0.1079027840129807
Puttalam,era5_temperature_2m_mean,19,0.06903382448341641
Puttalam,era5_temperature_2m_mean,20,0.05198622927627784
Ratnapura,era5_temperature_2m_mean,2,0.06551894232966234
Ratnapura,era5_temperature_2m_mean,3,0.06283882220183752
Ratnapura,era5_temperature_2m_mean,4,0.11606963704015098
Ratnapura,era5_temperature_2m_mean,5,0.13033720336042476
Ratnapura,era5_temperature_2m_mean,6,0.13972947499120636
Ratnapura,era5_temperature_2m_mean,7,0.1992593359342137
Ratnapura,era5_temperature_2m_mean,8,0.2223682755780997
Ratnapura,era5_temperature_2m_mean,9,0.2744660726070095
Ratnapura,era5_temperature_2m_mean,10,0.27574496799756404
